GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessCharList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectFloatMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatByteMap,564,0,6,0,57,0,37,0,34,0
